gene_id	colors
Amillepora15774-RA	blue
Amillepora15814-RA	turquoise
Amillepora15878-RA	brown
Amillepora15885-RA	turquoise
Amillepora16071-RA	blue
Amillepora16099-RA	blue
Amillepora16134-RA	turquoise
Amillepora16146-RA	brown
Amillepora16172-RA	brown
Amillepora16287-RA	blue
Amillepora16307-RA	grey
Amillepora16329-RA	turquoise
Amillepora16336-RA	blue
Amillepora16345-RA	blue
Amillepora16433-RA	turquoise
Amillepora16446-RA	turquoise
Amillepora16443-RA	turquoise
Amillepora16455-RA	turquoise
Amillepora16514-RA	turquoise
Amillepora16566-RA	turquoise
Amillepora16579-RA	turquoise
Amillepora16599-RA	turquoise
Amillepora16609-RA	grey
Amillepora16614-RA	blue
Amillepora16624-RA	blue
Amillepora16630-RA	blue
Amillepora16632-RA	blue
Amillepora16645-RA	grey
Amillepora16670-RA	turquoise
Amillepora16726-RA	blue
Amillepora24889-RA	turquoise
Amillepora24890-RA	turquoise
Amillepora24886-RA	turquoise
Amillepora24892-RA	turquoise
Amillepora24953-RA	turquoise
Amillepora24988-RA	turquoise
Amillepora25000-RA	turquoise
Amillepora25019-RA	turquoise
Amillepora25026-RA	turquoise
Amillepora25031-RA	turquoise
Amillepora25023-RA	brown
Amillepora25038-RA	blue
Amillepora25067-RA	turquoise
Amillepora25073-RA	turquoise
Amillepora25131-RA	turquoise
Amillepora25160-RA	turquoise
Amillepora25180-RA	blue
Amillepora25183-RA	grey
Amillepora25195-RA	turquoise
Amillepora25209-RA	blue
Amillepora25212-RA	turquoise
Amillepora25267-RA	turquoise
Amillepora25302-RA	blue
Amillepora25466-RA	brown
Amillepora25483-RA	blue
Amillepora25485-RA	blue
Amillepora25529-RA	blue
Amillepora25560-RA	brown
Amillepora25586-RA	turquoise
Amillepora25591-RA	turquoise
Amillepora25665-RA	blue
Amillepora25688-RA	blue
Amillepora25710-RA	blue
Amillepora25789-RA	brown
Amillepora25793-RA	brown
Amillepora25829-RA	grey
Amillepora25830-RA	grey
Amillepora25837-RA	brown
Amillepora25905-RA	blue
Amillepora25965-RA	brown
Amillepora25968-RA	grey
Amillepora25973-RA	blue
Amillepora26038-RA	blue
Amillepora26040-RA	blue
Amillepora26052-RA	turquoise
Amillepora26086-RA	blue
Amillepora26166-RA	turquoise
Amillepora26179-RA	brown
Amillepora00019-RA	brown
Amillepora00093-RA	turquoise
Amillepora00105-RA	blue
Amillepora00154-RA	turquoise
Amillepora00184-RA	blue
Amillepora00180-RA	turquoise
Amillepora00256-RA	brown
Amillepora00272-RA	turquoise
Amillepora00284-RA	blue
Amillepora00318-RA	blue
Amillepora00337-RA	grey
Amillepora00351-RA	brown
Amillepora00382-RA	blue
Amillepora00386-RA	brown
Amillepora00406-RA	brown
Amillepora00408-RA	blue
Amillepora00422-RA	grey
Amillepora00435-RA	blue
Amillepora00546-RA	grey
Amillepora00566-RA	turquoise
Amillepora00632-RA	turquoise
Amillepora00650-RA	turquoise
Amillepora00683-RA	brown
Amillepora00711-RA	turquoise
Amillepora00729-RA	blue
Amillepora00738-RA	blue
Amillepora00750-RA	blue
Amillepora00755-RA	turquoise
Amillepora00758-RA	turquoise
Amillepora00782-RA	blue
Amillepora00917-RA	turquoise
Amillepora00925-RA	blue
Amillepora00932-RA	blue
Amillepora00948-RA	brown
Amillepora00975-RA	brown
Amillepora00991-RA	grey
Amillepora00990-RA	grey
Amillepora01032-RA	brown
Amillepora01102-RA	turquoise
Amillepora01105-RA	turquoise
Amillepora01116-RA	turquoise
Amillepora01115-RA	turquoise
Amillepora01152-RA	turquoise
Amillepora01168-RA	brown
Amillepora01201-RA	turquoise
Amillepora01202-RA	turquoise
Amillepora01267-RA	brown
Amillepora01290-RA	turquoise
Amillepora01292-RA	grey
Amillepora01328-RA	turquoise
Amillepora01364-RA	blue
Amillepora01370-RA	turquoise
Amillepora01436-RA	blue
Amillepora01446-RA	turquoise
Amillepora01458-RA	turquoise
Amillepora01447-RA	grey
Amillepora01560-RA	brown
Amillepora01573-RA	blue
Amillepora01705-RA	blue
Amillepora01718-RA	brown
Amillepora01724-RA	blue
Amillepora01754-RA	turquoise
Amillepora01764-RA	turquoise
Amillepora01796-RA	brown
Amillepora01860-RA	brown
Amillepora01881-RA	brown
Amillepora01894-RA	turquoise
Amillepora01916-RA	blue
Amillepora01948-RA	blue
Amillepora01969-RA	turquoise
Amillepora01973-RA	blue
Amillepora01982-RA	brown
Amillepora02004-RA	blue
Amillepora02016-RA	turquoise
Amillepora02023-RA	turquoise
Amillepora02021-RA	turquoise
Amillepora02032-RA	brown
Amillepora02062-RA	blue
Amillepora02137-RA	brown
Amillepora02260-RA	blue
Amillepora02269-RA	brown
Amillepora02399-RA	brown
Amillepora02439-RA	brown
Amillepora02440-RA	brown
Amillepora02441-RA	blue
Amillepora02448-RA	blue
Amillepora02462-RA	brown
Amillepora02460-RA	blue
Amillepora02499-RA	turquoise
Amillepora02511-RA	brown
Amillepora02598-RA	turquoise
Amillepora02607-RA	turquoise
Amillepora02634-RA	turquoise
Amillepora02661-RA	turquoise
Amillepora02704-RA	turquoise
Amillepora02733-RA	turquoise
Amillepora02840-RA	turquoise
Amillepora02871-RA	brown
Amillepora02875-RA	grey
Amillepora02957-RA	turquoise
Amillepora02962-RA	turquoise
Amillepora02964-RA	turquoise
Amillepora02968-RA	turquoise
Amillepora02969-RA	turquoise
Amillepora02982-RA	grey
Amillepora02992-RA	blue
Amillepora02991-RA	grey
Amillepora03024-RA	brown
Amillepora03038-RA	blue
Amillepora03075-RA	brown
Amillepora03099-RA	turquoise
Amillepora03096-RA	grey
Amillepora03149-RA	blue
Amillepora03163-RA	turquoise
Amillepora03176-RA	turquoise
Amillepora03181-RA	blue
Amillepora03225-RA	turquoise
Amillepora03290-RA	turquoise
Amillepora03350-RA	turquoise
Amillepora03351-RA	grey
Amillepora03385-RA	blue
Amillepora03388-RA	turquoise
Amillepora03390-RA	blue
Amillepora03411-RA	turquoise
Amillepora03438-RA	turquoise
Amillepora03462-RA	grey
Amillepora03464-RA	turquoise
Amillepora03465-RA	blue
Amillepora03522-RA	grey
Amillepora03523-RA	brown
Amillepora03560-RA	turquoise
Amillepora03568-RA	turquoise
Amillepora03590-RA	brown
Amillepora03607-RA	turquoise
Amillepora03647-RA	blue
Amillepora03652-RA	turquoise
Amillepora03666-RA	turquoise
Amillepora03700-RA	turquoise
Amillepora03728-RA	turquoise
Amillepora03741-RA	turquoise
Amillepora03755-RA	brown
Amillepora03774-RA	turquoise
Amillepora03856-RA	brown
Amillepora03848-RA	blue
Amillepora03853-RA	brown
Amillepora03937-RA	turquoise
Amillepora03952-RA	brown
Amillepora04030-RA	blue
Amillepora04089-RA	brown
Amillepora04111-RA	blue
Amillepora04191-RA	turquoise
Amillepora04199-RA	blue
Amillepora04273-RA	blue
Amillepora04300-RA	grey
Amillepora04345-RA	turquoise
Amillepora04407-RA	turquoise
Amillepora04415-RA	turquoise
Amillepora04414-RA	turquoise
Amillepora04424-RA	turquoise
Amillepora04472-RA	blue
Amillepora04505-RA	turquoise
Amillepora04585-RA	turquoise
Amillepora04594-RA	turquoise
Amillepora04634-RA	blue
Amillepora04644-RA	turquoise
Amillepora04670-RA	turquoise
Amillepora04705-RA	turquoise
Amillepora04718-RA	turquoise
Amillepora04717-RA	brown
Amillepora04733-RA	grey
Amillepora04747-RA	turquoise
Amillepora04778-RA	turquoise
Amillepora04772-RA	turquoise
Amillepora04787-RA	turquoise
Amillepora04782-RA	turquoise
Amillepora04784-RA	turquoise
Amillepora04780-RA	turquoise
Amillepora04812-RA	grey
Amillepora04809-RA	turquoise
Amillepora04848-RA	grey
Amillepora04871-RA	turquoise
Amillepora04878-RA	blue
Amillepora04922-RA	turquoise
Amillepora04927-RA	grey
Amillepora04929-RA	blue
Amillepora04948-RA	brown
Amillepora04961-RA	turquoise
Amillepora04981-RA	blue
Amillepora04985-RA	brown
Amillepora04986-RA	brown
Amillepora05007-RA	blue
Amillepora05006-RA	blue
Amillepora05005-RA	grey
Amillepora05025-RA	turquoise
Amillepora05096-RA	grey
Amillepora05104-RA	turquoise
Amillepora05142-RA	turquoise
Amillepora05264-RA	turquoise
